distance,first_registration,fuel,price,search,title,url,year
22500,2022-03-22,Elektrisitet,377129,kia e-niro,Kia E-Niro E-NIRO 150KW  EXCLUSIVE  1 EIER!,https://www.finn.no/car/used/ad.html?finnkode=340951080,2022
22800,2017-11-23,El + Bensin,209900,kia e-niro,Kia Niro Hybrid/Exclusive/Helskinn/Navi/Ryggekamera/LED/ACC/+++,https://www.finn.no/car/used/ad.html?finnkode=341213978,2018
50000,2020-12-29,Elektrisitet,319900,kia e-niro,"Kia E-Niro EXCLUSIVE,SKINN,SOLTAK,JBL,VINTERHJUL,7ÅR GARANTI",https://www.finn.no/car/used/ad.html?finnkode=341145902,2021
12000,2021-10-27,Elektrisitet,329900,kia e-niro,"Kia Niro 64KW,NAVI,UVO,V-PUMPE,JBL,VINTERHJUL,KUN KJØRT 12.000KM",https://www.finn.no/car/used/ad.html?finnkode=341283012,2021
42000,2020-12-10,Elektrisitet,309900,kia e-niro,"Kia E-Niro 64KW,NAVI,UVO,DELSKINN,3-FAS,V-PUMPE,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341264361,2021
150204,2020-11-06,Elektrisitet,244305,kia e-niro,Kia E-Niro 150kw,https://www.finn.no/car/used/ad.html?finnkode=341179098,2020
39000,2021-08-17,Elektrisitet,319900,kia e-niro,"Kia E-Niro 64KW,NAVI,UVO,DELSKINN,3-FAS,V-PUMP,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341286509,2021
12689,2022-09-29,Elektrisitet,334900,kia e-niro,"Kia Soul 64kWh Advance Uvo,Delskinn,11kWh,R.kamera,DAB+,Navi,ACC",https://www.finn.no/car/used/ad.html?finnkode=341254789,2023
23844,2020-09-02,El + Bensin,264900,kia e-niro,"Kia Niro 1,6 Hybrid_Classic Norsk,Navi,R-kamera,ACC,Delskin,DAB+",https://www.finn.no/car/used/ad.html?finnkode=341256929,2020
16100,2022-11-30,Elektrisitet,379000,kia e-niro,Kia E-Niro Action,https://www.finn.no/car/used/ad.html?finnkode=341336313,2023
16250,2023-01-31,Elektrisitet,379000,kia e-niro,Kia E-Niro Action,https://www.finn.no/car/used/ad.html?finnkode=341336426,2023
