area,distance,first_registration,fuel,price,search,title,url,year
"Torolf Storsveens veg 27, 2411 Elverum",121911,2011-11-14,Bensin,124990,Mitsubishi Outlander,Mitsubishi Outlander 2.0 147HK/Automat/Cruise/R.Cam/Navi/Delskinn/Fosgate/BT,https://www.finn.no/car/used/ad.html?finnkode=344131873,2012
"Janaflaten 47, 5179 Godvik",95512,2019-02-06,El + Bensin,259000,Mitsubishi Outlander,"Mitsubishi Outlander Instyle+ 2,4 224hk OUTLET/SKINN/DAB/360KAM/ACC",https://www.finn.no/car/used/ad.html?finnkode=344151389,2019
"Rosenkrantzgata 85, 3018 Drammen",101600,2015-12-14,El + Bensin,219900,Mitsubishi Outlander,Mitsubishi Outlander 2.0 INSTYLE+ / ACC / 360KAM / ROCKFORD / SKINN / KROK++,https://www.finn.no/car/used/ad.html?finnkode=344166409,2016
"Kristian Birkelands vei 2, 4820 Froland",291000,2009-02-04,Diesel,45000,Mitsubishi Outlander,Mitsubishi Outlander 4x4/REG.REIM/7 SETTER,https://www.finn.no/car/used/ad.html?finnkode=344166646,2009
"Leangen Alle 6, 7044 Trondheim",56685,2018-11-05,El + Bensin,349000,Mitsubishi Outlander,Mitsubishi Outlander 2.4 230HK Instyle+ 7ÅRSGARANTI-NAVI-NORSK-KROK++,https://www.finn.no/car/used/ad.html?finnkode=344135822,2019
4200 Sauda,47400,2020-06-11,El + Bensin,359305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.4-135 4WD,https://www.finn.no/car/used/ad.html?finnkode=344149077,2020
"Strandgata 25, 4307 Sandnes",40000,2019-03-28,El + Bensin,319000,Mitsubishi Outlander,Mitsubishi Outlander 2.4 224hk Intense+ Soltak Alcantara Kamera Hengerfeste,https://www.finn.no/car/used/ad.html?finnkode=344142312,2019
"Industriveien 4 A, 7500 Stjørdal",23400,2020-09-28,El + Bensin,359705,Mitsubishi Outlander,Mitsubishi Outlander IINSTYLE Krok Ryggekamera Nybilgaranti,https://www.finn.no/car/used/ad.html?finnkode=344160608,2020
3614 Kongsberg,160073,2014-03-04,El + Bensin,125000,Mitsubishi Outlander,Mitsubishi Outlander Ladd hybrid/4WD/forvarming m nøkkel/Ryggekamera,https://www.finn.no/car/used/ad.html?finnkode=344082603,2014
"Rombaksveien 45, 8517 Narvik",71230,2020-12-14,Bensin,309000,Mitsubishi Outlander,"Mitsubishi Outlander Business 2,4  PHEV Hybrid 2,4 224HK Business Kamera",https://www.finn.no/car/used/ad.html?finnkode=344131886,2020
6783 Stryn,82000,2019-08-29,El + Bensin,289305,Mitsubishi Outlander,"Mitsubishi Outlander OUTLANDER 5-s PHEV 2,4  4WD Intense+",https://www.finn.no/car/used/ad.html?finnkode=344172163,2020
9019 Tromsø,68848,2016-10-05,El + Bensin,229305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER PHEV 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=339257796,2016
"Vingvegen 2, 4050 Sola",49000,2019-12-19,El + Bensin,348000,Mitsubishi Outlander,Mitsubishi Outlander 230 hk Automat AWD m/Navi/RyggeK/DAB+,https://www.finn.no/car/used/ad.html?finnkode=343900311,2020
4014 Stavanger,151000,2013-11-20,Diesel,137305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.3-150 D 4WD,https://www.finn.no/car/used/ad.html?finnkode=343386541,2013
6415 Molde,115913,2019-11-27,El + Bensin,329305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.4-135 4WD,https://www.finn.no/car/used/ad.html?finnkode=343906009,2020
"Vålgutua 206, 2436 Våler i Solør",66000,2016-11-21,El + Bensin,279900,Mitsubishi Outlander,Mitsubishi Outlander PHEV INSTYLE+ AWD AUT+H.FESTE+R.KAMERA+GARANTI+NORSK+++,https://www.finn.no/car/used/ad.html?finnkode=343924880,2016
5178 Loddefjord,71249,2014-03-05,El + Bensin,214305,Mitsubishi Outlander,"Mitsubishi Outlander Plug-in-Hybrid, Instyle+,kamera, Krok, Adaptiv Cruise++",https://www.finn.no/car/used/ad.html?finnkode=343777370,2014
