area,distance,first_registration,fuel,price,search,title,url,year
"Depotgata 12, 2000 Lillestrøm",1860,2023-08-01,Elektrisitet,459900,Nissan ARIYA,Nissan Ariya Advance 63kWt HFESTE!/WLTP 404KM!/GODT UTSTYRT!/LAV KM!,https://www.finn.no/car/used/ad.html?finnkode=341375688,2023
"Rudssletta 24, 1351 Rud",33689,2020-06-12,Bensin,393000,Nissan ARIYA,Nissan X-Trail DIG-T 160 Tekna 2WD aut 7s NORSK TOPPUTSTYRT LAV KM,https://www.finn.no/car/used/ad.html?finnkode=340394828,2020
,21837,2022-11-10,Elektrisitet,459900,Nissan ARIYA,"Nissan Ariya Evolve 87kWt Norsk,toppmodell,536 km WLTP",https://www.finn.no/car/used/ad.html?finnkode=340198556,2022
"KOKSTADVEGEN 15, 5257 Kokstad",7800,2023-10-12,Elektrisitet,529000,Nissan ARIYA,Nissan Ariya EVOLVE 87kWh e-4ORCE Bose/360'/Pano/Serviceavtale,https://www.finn.no/car/used/ad.html?finnkode=332540293,2023
"Eidskogveien 48, 2211 Kongsvinger",17500,2022-10-25,Elektrisitet,458900,Nissan ARIYA,Nissan Ariya Evolve 87kWt //HUD//360 kamera//Propilot//Navi++,https://www.finn.no/car/used/ad.html?finnkode=339581282,2022
"Rudssletta 24, 1351 Rud",48650,2020-06-12,Bensin,334900,Nissan ARIYA,Nissan X-Trail DIG-T 160 N-Connecta 2WD aut 5s DEN PERFEKTE FAMILIEBIL,https://www.finn.no/car/used/ad.html?finnkode=340443817,2020
"Høydaveien 7, 1523 Moss",25800,2022-12-28,Elektrisitet,469950,Nissan ARIYA,"Nissan Ariya 87kWh/NORSK BIL/Evolve/ Nappa/20"" hjul/22kw/H.feste/ACC",https://www.finn.no/car/used/ad.html?finnkode=341094579,2023
"Storebotn 3, 5309 Kleppestø",4500,2022-08-04,Elektrisitet,419900,Nissan ARIYA,Nissan Ariya 63KW ADVANCED ACC 360KAMERA LED KEYLESS EL BAKLUKE DAB,https://www.finn.no/car/used/ad.html?finnkode=341090288,2022
"Depotgata 12, 2000 Lillestrøm",15581,2022-11-17,Elektrisitet,514900,Nissan ARIYA,Nissan Ariya Evolve 87kWt TOPPMODELL! NORSK! RÅ FARGE! 22 KW LADING!,https://www.finn.no/car/used/ad.html?finnkode=340995131,2022
"Rudssletta 24, 1351 Rud",30835,2020-06-12,Bensin,349900,Nissan ARIYA,Nissan X-Trail DIG-T 160 Tekna 2WD aut 7s NORSK BIL! TOPPUTSTYRT!,https://www.finn.no/car/used/ad.html?finnkode=340440239,2020
"Rudssletta 24, 1351 Rud",21321,2022-11-15,Elektrisitet,464900,Nissan ARIYA,Nissan Ariya Evolve 87kWt TOPPUTGAVEN/BOSE/HUD/HENGERFESTE,https://www.finn.no/car/used/ad.html?finnkode=340404810,2022
,14967,2022-10-11,Elektrisitet,449900,Nissan ARIYA,Nissan Ariya Advance 87kWt GODT UTSTYRT! INNBYTTE? VI TAR DEN!,https://www.finn.no/car/used/ad.html?finnkode=341102180,2022
5251 Søreidgrend,9600,2023-05-31,Elektrisitet,553868,Nissan ARIYA,"Nissan Ariya e4ORCE Evolve 87, s+v ,h-feste, nappa skinn, 22kw",https://www.finn.no/car/used/ad.html?finnkode=327898386,2023
"Rundhågen 6, 9409 Harstad",14000,2023-03-24,Elektrisitet,539000,Nissan ARIYA,Nissan Ariya Evolve 87 kWt|e4orce|22 kW ombordlader|Blue Nappa,https://www.finn.no/car/used/ad.html?finnkode=336685330,2023
"Kongevegen 101, 2211 Kongsvinger",12700,2023-02-14,Elektrisitet,389000,Nissan ARIYA,"Nissan Ariya Advance 63kWt , Appstyring, ACC, CarPlay/Android Auto++",https://www.finn.no/car/used/ad.html?finnkode=337202934,2023
"Drammensveien 207, 0281 Oslo",25000,2022-11-24,Elektrisitet,459800,Nissan ARIYA,"Nissan Ariya Evolve 87kWt 22 kw Lader, 20"", Bose",https://www.finn.no/car/used/ad.html?finnkode=336523255,2022
"Rundhågen 6, 9409 Harstad",10500,2023-03-16,Elektrisitet,539000,Nissan ARIYA,Nissan Ariya Evolve 87 kWt|e4orce|22 kW ombordlader|Blue Nappa,https://www.finn.no/car/used/ad.html?finnkode=336687630,2023
"Travveien 4, 3170 Sem",11890,2023-02-03,Elektrisitet,489000,Nissan ARIYA,Nissan Ariya Evolve 87kWt,https://www.finn.no/car/used/ad.html?finnkode=336762578,2023
"Grønlikroken 3, 3735 Skien",22000,2022-12-06,Elektrisitet,469000,Nissan ARIYA,Nissan Ariya Evolve 87kWt TOPPVERSJON MED LYST INTERIØR-MÅ SEES!,https://www.finn.no/car/used/ad.html?finnkode=337429321,2022
"Travveien 4, 3170 Sem",24000,2023-03-29,Elektrisitet,539000,Nissan ARIYA,"Nissan Ariya e4ORCE Evolve 87kWt Nappa/20""/22KW ombordlader/360 +++",https://www.finn.no/car/used/ad.html?finnkode=337658064,2023
"Stutterø Industriområde, 7500 Stjørdal",3000,2023-11-14,Elektrisitet,539900,Nissan ARIYA,Nissan Ariya 87kWt E-Force|22kW Advance|Krok|Vinterhjul,https://www.finn.no/car/used/ad.html?finnkode=338113716,2023
"Bedriftsveien 18, 4313 Sandnes",21000,2022-12-30,Elektrisitet,479000,Nissan ARIYA,Nissan Ariya Evolve 87kWt NORSK-NAVI-KAMERA-KROK-TOPPMODELL,https://www.finn.no/car/used/ad.html?finnkode=338121125,2022
