area,distance,first_registration,fuel,price,search,title,url,year
5232 Paradis,72000,2013-12-23,Diesel,179999,Passat,Volkswagen Passat Alltrack PASSAT 2.0-177 D 4MOTION,https://www.finn.no/car/used/ad.html?finnkode=256345788,2014
"Holthes vei 2, 4848 Arendal",69000,2019-12-20,El + Bensin,278000,Passat,Volkswagen Passat GTE / ACC / WEBASTO / SKINN / PANORAMA / KROK / EN-EIER,https://www.finn.no/car/used/ad.html?finnkode=344100234,2020
"Nordbyveien 96, 1406 Ski",66540,2019-12-27,Diesel,429900,Passat,Volkswagen Passat Alltrack fl  190 tdi alltrack * /360CAM/WEBASTO/KROK/SKINN/++,https://www.finn.no/car/used/ad.html?finnkode=344094488,2020
"Stemmane 1A, 4636 Kristiansand S",86000,2019-12-11,El + Bensin,249000,Passat,Volkswagen Passat PLUG-IN - ACC-NAVI-DAB+-KROK-R.KAMERA-KEY.L-WEBASTO+++,https://www.finn.no/car/used/ad.html?finnkode=344104547,2020
6036 Mauseidvåg,185912,2012-07-18,Bensin,87000,Passat,Volkswagen Passat PASSAT 1.4-122,https://www.finn.no/car/used/ad.html?finnkode=343867040,2013
"Øvre Flatåsveg 6, 7079 Flatåsen",89000,2019-04-02,Diesel,389900,Passat,"Volkswagen Passat Alltrack WEBASTO,DYNAUDIO,MASSASJE,KROK,RATTV.,NAVI,HUD,VIRTUAL",https://www.finn.no/car/used/ad.html?finnkode=344084908,2019
"Ramdalveien 4, 3128 Nøtterøy",139800,2016-12-22,El + Bensin,169900,Passat,Volkswagen Passat GTE / Hengerfeste / Dynaudio / Panorama / ACC ++,https://www.finn.no/car/used/ad.html?finnkode=344088740,2017
"Skibåsen 15A, 4636 Kristiansand S",115600,2017-11-28,Diesel,199900,Passat,Volkswagen Passat 1.6-TDI-120HK-DSG-AUTOMATGIR*ACC*PDC*DAB*KROK*TIPTRONIC,https://www.finn.no/car/used/ad.html?finnkode=344117788,2018
"Hvamsvingen 5, 2013 Skjetten",111800,2016-05-12,Diesel,179000,Passat,Renault Talisman Sport Tourer dCi 130 Intens aut Hengerfeste/Cruise/DAB,https://www.finn.no/car/used/ad.html?finnkode=344119932,2016
"Øvre Flatåsveg 6, 7079 Flatåsen",106500,2016-12-22,El + Bensin,214900,Passat,"Volkswagen Passat GTE,WEBASTO,ACC,DELSKINN,VIRTUAL,KROK,AMBIENT,NY EU!",https://www.finn.no/car/used/ad.html?finnkode=344131011,2017
3083 Holmestrand,360000,2007-03-06,Diesel,16845,Passat,Volkswagen Passat PASSAT 2.0-140 D 4MOTION,https://www.finn.no/car/used/ad.html?finnkode=344021242,2007
"Trimveien 33, 3188 Horten",89258,2016-10-27,El + Bensin,209000,Passat,Volkswagen Passat stv gte SE UTSTYR! PANO/HEAD-UP/SKINN/DCC mm,https://www.finn.no/car/used/ad.html?finnkode=344123647,2017
"Prestebråtan 8, 3300 Hokksund",42502,2022-03-08,Diesel,399999,Passat,"Volkswagen Passat 2,0 TDI 122hk Businessline LED-Matrix/Webasto/Ryggekam.",https://www.finn.no/car/used/ad.html?finnkode=344122478,2022
,140439,2015-05-22,Bensin,149000,Passat,"Volkswagen Passat 1,4 TSI 125hk, DAB+/R.kamera/LED/Navi/Krok",https://www.finn.no/car/used/ad.html?finnkode=344131357,2015
2324 Vang på Hedmarken,83800,2018-09-27,El + Bensin,239305,Passat,Volkswagen Passat GTE EXCLUSIVE  1.4-156 stasjonsvogn,https://www.finn.no/car/used/ad.html?finnkode=343904068,2018
3890 Vinje,183000,2011-05-26,Diesel,91845,Passat,"Volkswagen Passat 2,0 TDI 140hk BMT Comfortline 4M",https://www.finn.no/car/used/ad.html?finnkode=343954346,2011
"Johan Follestads vei 15, 3474 Åros",82067,2017-01-30,El + Bensin,209900,Passat,"Volkswagen Passat 1,4 TSI 218hk Exclusive aut (K) Outlet/Pvarmer/Acc/Krok",https://www.finn.no/car/used/ad.html?finnkode=343964584,2017
"Eitrheim, 5750 Odda",31554,2020-03-13,El + Bensin,299000,Passat,Volkswagen Passat fl  gte *,https://www.finn.no/car/used/ad.html?finnkode=343964891,2020
