area,distance,first_registration,fuel,price,search,title,url,year
"Vognveien 31, 2072 Dal",280460,2011-11-22,Diesel,59000,Skoda Octavia,Skoda Superb SKODA SUPERB 2.0 TDI 140 HK DSG 4X4 ELEGANCE STV,https://www.finn.no/car/used/ad.html?finnkode=344140208,2012
"Nomevegen 46, 3733 Skien",145500,2014-11-04,Bensin,199000,Skoda Octavia,Skoda Octavia RS-2.0TSI 220 hk/S-seter/Xenon/DAB/EU-2026 /Ny service,https://www.finn.no/car/used/ad.html?finnkode=344145270,2015
"Industriveien 55, 2206 Kongsvinger",85151,2021-03-15,El + Bensin,259900,Skoda Octavia,Skoda Octavia Oct a8 stv amb 204 phev dsg 48,https://www.finn.no/car/used/ad.html?finnkode=344119427,2021
6060 Hareid,74468,2017-08-18,Bensin,254147,Skoda Octavia,Skoda Octavia RS OCTAVIA RS 2.0-230,https://www.finn.no/car/used/ad.html?finnkode=323170406,2016
"Vigdelsvegen 1, 4053 Ræge",110190,2016-03-23,Bensin,135000,Skoda Octavia,Skoda Octavia 1.2 TSI 110HK/H.FESTE/WEBASTO/R.KAM/DAB/CANTON/P.SENSOR,https://www.finn.no/car/used/ad.html?finnkode=344154737,2016
"Gamle riksvei 15, 8008 Bodø",29340,2022-02-28,Diesel,429000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Webasto Ryggekamera El-seter,https://www.finn.no/car/used/ad.html?finnkode=344128605,2022
"Industriveien 55, 2206 Kongsvinger",111364,2021-02-23,Diesel,369900,Skoda Octavia,Skoda Octavia Oct a8 stv sty 200d 4x4 dsg 48,https://www.finn.no/car/used/ad.html?finnkode=344121640,2021
"Gårdsveien 7, 4847 Arendal",202000,2016-11-02,Diesel,188000,Skoda Octavia,Skoda Octavia vRS 2.0TDi 4X4 184HK DSG - ACC/NAVI/PANO/CANTON/KROK+++,https://www.finn.no/car/used/ad.html?finnkode=344156896,2017
8624 Mo i Rana,191000,2010-01-19,Diesel,39777,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D 4X4 NAF TEST EU kontroll 15.03.2026,https://www.finn.no/car/used/ad.html?finnkode=330374045,2010
4580 Lyngdal,86740,2016-05-31,Bensin,189305,Skoda Octavia,Skoda Octavia OCTAVIA 1.8-179,https://www.finn.no/car/used/ad.html?finnkode=343433655,2016
4370 Egersund,93000,2014-09-11,Diesel,124147,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D,https://www.finn.no/car/used/ad.html?finnkode=332394807,2014
"Håndverksvegen 15, 3917 Porsgrunn",306000,2007-10-05,Diesel,24999,Skoda Octavia,Skoda Octavia 1.9-TDI-MANUELL-6-GIR-HENGERFESTE-4X4-EU2025-ISO-CRUISE,https://www.finn.no/car/used/ad.html?finnkode=343937056,2007
"Havneveien 1, 7652 Verdal",110349,2017-01-20,Diesel,199000,Skoda Octavia,Skoda Octavia Oct 3 stv sty d110 4x4 kamp Webasto/hengerfeste/kamera+,https://www.finn.no/car/used/ad.html?finnkode=343951670,2017
"Tungasletta 6, 7047 Trondheim",134562,2021-02-24,Diesel,389000,Skoda Octavia,"Skoda Octavia 2,0 TDI 200hk 4x4 Style DSG Webasto|HFeste|ElFører|RK+",https://www.finn.no/car/used/ad.html?finnkode=343956521,2021
"Trondheimsveien 40, 2013 Skjetten",91300,2019-03-14,Diesel,279900,Skoda Octavia,"Skoda Octavia 2,0 TDI 150hk Style 4x4 aut P.Varme, Krok, R.Kam",https://www.finn.no/car/used/ad.html?finnkode=343956739,2019
"Tungasletta 6, 7047 Trondheim",85833,2021-01-11,Diesel,429000,Skoda Octavia,"Skoda Octavia 2,0 TDI 200hk Style 4x4 Webasto|HFeste|Matrix|ElFører++",https://www.finn.no/car/used/ad.html?finnkode=343956695,2021
3160 Stokke,294126,2006-03-10,Diesel,8345,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D,https://www.finn.no/car/used/ad.html?finnkode=343772972,2006
"Nedre Eikervei 12 A, 3045 Drammen",128000,2016-11-15,Bensin,134000,Skoda Octavia,"Skoda Octavia 1,8i.179HK.Aut.4WD.Lav km.Outlet. Sjekk denne!",https://www.finn.no/car/used/ad.html?finnkode=343888808,2017
"Alkevegen 5, 9015 Tromsø",119343,2014-02-05,Bensin,189000,Skoda Octavia,Skoda Octavia 3 ele tsi 180 4x4 dsg Utstyr-Garanti-Bytte,https://www.finn.no/car/used/ad.html?finnkode=343888795,2014
3726 Skien,156000,2009-07-01,Diesel,59845,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D,https://www.finn.no/car/used/ad.html?finnkode=343898586,2009
1405 Langhus,111533,2016-11-01,Diesel,179305,Skoda Octavia,"Skoda Octavia 1,6 TDI 110hk 4x4 Ambition",https://www.finn.no/car/used/ad.html?finnkode=343913749,2017
3090 Hof,157840,2012-11-29,Diesel,88845,Skoda Octavia,"Skoda Octavia 1,6 TDI 105 hk 4X4 L&K Edition",https://www.finn.no/car/used/ad.html?finnkode=343949881,2013
8074 Bodø,135500,2016-05-19,Diesel,189147,Skoda Octavia,"Skoda Octavia Scout 2,0 TDI 184hk 4x4 6DSG PANO/ACC/WEBASTO/NAVI/CARPLAY",https://www.finn.no/car/used/ad.html?finnkode=299397734,2016
"Brusdalsveien 200, 6011 Ålesund",55449,2021-02-26,Diesel,299800,Skoda Octavia,"Skoda Octavia 2,0 TDI 150hk Style",https://www.finn.no/car/used/ad.html?finnkode=343957337,2021
"Industritoppen 4, 4848 Arendal",124947,2014-08-20,Diesel,139900,Skoda Octavia,Skoda Octavia 1.6TDI 105HK STYLE/DEFA/ACC/PDC/KROK/XENON/NY-EU2025,https://www.finn.no/car/used/ad.html?finnkode=343975069,2015
"Storgt 127, 2390 Moelv",107500,2014-03-31,Bensin,128000,Skoda Octavia,"Skoda Octavia 1,4 TSI 140 HK/AUT Lav km++++",https://www.finn.no/car/used/ad.html?finnkode=343971450,2014
"Verkstedveien 15, 2500 Tynset",149121,2019-06-06,Bensin,199000,Skoda Octavia,"Skoda Octavia 1,5 TSI ACT 150HK Style Aut",https://www.finn.no/car/used/ad.html?finnkode=343964880,2019
"Ing. Rybergsgate 96, 3027 Drammen",55200,2021-12-02,Diesel,429900,Skoda Octavia,Skoda Octavia style tdi 150hk 4x4 Matrix ELseter Hfeste R-kam Webasto,https://www.finn.no/car/used/ad.html?finnkode=343962232,2022
9513 Alta,99700,2015-11-06,Diesel,229999,Skoda Octavia,Skoda Octavia OCTAVIA Laurin og Klemet 2.0-184 D 4X4 DSG,https://www.finn.no/car/used/ad.html?finnkode=343361146,2016
4885 Grimstad,125000,2017-02-24,Diesel,244305,Skoda Octavia,"Skoda Octavia RS 2.0 TDI 4x4 DSG, Webasto, Hengerfeste, DAB",https://www.finn.no/car/used/ad.html?finnkode=343987640,2017
"Alkevegen 5, 9015 Tromsø",53725,2021-12-13,Diesel,399000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Utstyr-Garanti-Bytte,https://www.finn.no/car/used/ad.html?finnkode=343985651,2022
"Hadelandsvegen 2105, 2740 Roa",166000,2013-11-28,Diesel,98000,Skoda Octavia,Skoda Octavia 1.6TDI 105Hk Stv/ELEGANCE/Xenon/PDC/DAB//H-Feste/Alu,https://www.finn.no/car/used/ad.html?finnkode=343990667,2014
"Alkevegen 5, 9015 Tromsø",49064,2022-05-09,Diesel,429000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Varmer-Krok-Navi-R.Kam-ACC ++,https://www.finn.no/car/used/ad.html?finnkode=343992549,2022
"Brusdalsveien 200, 6011 Ålesund",41396,2020-12-21,El + Bensin,319800,Skoda Octavia,Skoda Octavia a8 stv sty 204tsi phev dsg,https://www.finn.no/car/used/ad.html?finnkode=343984230,2021
