area,distance,first_registration,fuel,price,search,title,url,year
"Rødmyrlia 24, 3735 Skien",203000,2014-08-26,Diesel,199000,Skoda Superb,Skoda Superb TDI 2.0 170HK/4X4/Navi/Ambition/Delskinn/Panorama/NY EU,https://www.finn.no/car/used/ad.html?finnkode=344107600,2015
3617 Kongsberg,181700,2013-07-12,Diesel,96777,Skoda Superb,Skoda Superb SUPERB 2.0-170 D,https://www.finn.no/car/used/ad.html?finnkode=329484620,2011
9034 Oldervik,95000,2020-07-30,Diesel,425002,Skoda Superb,Skoda Superb SUPERB 2.0-190 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=336207003,2020
"Industrivegen 2, 7502 Stjørdal",141000,2020-04-01,Diesel,399999,Skoda Superb,Skoda Superb 2.0 TDI 190Hk/ Sportline/ 4x4/ Automat/ KROK/ 1 eier,https://www.finn.no/car/used/ad.html?finnkode=344108175,2020
"Ankenesveien 100, 8520 Ankenes",138500,2018-10-10,Diesel,319000,Skoda Superb,Skoda Superb 2.0 TDI 4x4 DSG L&K / Massasje / ACC / Webasto / Krok++,https://www.finn.no/car/used/ad.html?finnkode=344125341,2019
"Vognveien 31, 2072 Dal",280460,2011-11-22,Diesel,59000,Skoda Superb,Skoda Superb SKODA SUPERB 2.0 TDI 140 HK DSG 4X4 ELEGANCE STV,https://www.finn.no/car/used/ad.html?finnkode=344140208,2012
"Trekanten 2, 9515 Alta",69800,2021-02-09,Diesel,479000,Skoda Superb,"Skoda Superb Style 2.0 TDi 200hk Style 4x4 Automat, Navigasjon",https://www.finn.no/car/used/ad.html?finnkode=344172012,2021
"Alfasetveien 11, 0668 Oslo",101303,2017-07-07,Bensin,269000,Skoda Superb,Skoda Superb Sup 3 stv l&k tsi 180 dsg Nylig EU / Skinn / Krok,https://www.finn.no/car/used/ad.html?finnkode=344117344,2018
1338 Sandvika,267000,2012-02-06,Diesel,129000,Skoda Superb,Skoda Superb SUPERB 2.0-140 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=341305031,2012
"Storgt 79, 2830 Raufoss",73400,2018-10-11,Diesel,399999,Skoda Superb,"Skoda Superb 2.0  L&K 190 HK TDI 4x4 . ACC,DAB,Webasto+++",https://www.finn.no/car/used/ad.html?finnkode=343751485,2019
6390 Vestnes,254000,2008-04-16,Diesel,15845,Skoda Superb,Skoda Superb SUPERB 1.9-116 D,https://www.finn.no/car/used/ad.html?finnkode=343799078,2008
"Rudssletta 24, 1351 Rud",135000,2017-11-29,Diesel,199900,Skoda Superb,"Skoda Superb 1,6 TDI 120hk Style aut |Outlet|EU06/2025|Krok|",https://www.finn.no/car/used/ad.html?finnkode=343771778,2018
4323 Sandnes,222980,2015-10-07,Diesel,169305,Skoda Superb,Skoda Superb SUPERB 1.6-120 D,https://www.finn.no/car/used/ad.html?finnkode=343823829,2016
