area,distance,first_registration,fuel,price,search,title,url,year
"Tungasletta 8, 7047 Trondheim",42121,2021-02-25,El + Bensin,299900,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech VINTERHJUL|FRI FRAKT,https://www.finn.no/car/used/ad.html?finnkode=344050259,2021
"Elgvegen 2, 2340 Løten",29410,2022-03-10,El + Bensin,359000,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech INNBYTTEKAMPANJE,https://www.finn.no/car/used/ad.html?finnkode=344138967,2022
"Tungasletta 8, 7047 Trondheim",38972,2021-02-25,El + Bensin,304900,Suzuki S-Cross,Suzuki SX4 S-Cross SUV Turbo 140hk GLX SkyTech FRIFRAKT•KAMERA•ADAPTIV,https://www.finn.no/car/used/ad.html?finnkode=344050273,2021
"Hadelandsveien 1, 2816 Gjøvik",29168,2021-12-27,Bensin,338900,Suzuki S-Cross,Suzuki SX4 S-Cross Turbo GLX 48V HYBRID Ryggekamera/Navi/ACC+++,https://www.finn.no/car/used/ad.html?finnkode=344084598,2022
"Vestre Rosten 71, 7072 Heimdal",60100,2022-05-10,Bensin,349000,Suzuki S-Cross,Suzuki SX4 S-Cross Serviceavtale Facelift Ledlys Apple carplay ACC+++,https://www.finn.no/car/used/ad.html?finnkode=344120747,2022
"Semsvegen 37, 3676 Notodden",10,2024-03-06,El + Bensin,509900,Suzuki S-Cross,"Suzuki SX4 S-Cross 1.5  Fullhybrid, Automat, SafeTech",https://www.finn.no/car/used/ad.html?finnkode=344141319,2024
"Hvamsvingen 7, 2013 Skjetten",60200,2021-05-10,Bensin,299000,Suzuki S-Cross,"Suzuki SX4 S-Cross SUV Turbo 130hk GLX 48V Hybrid Aut, Ryggekamera",https://www.finn.no/car/used/ad.html?finnkode=344156905,2021
"Torolf Storsveens veg 27, 2411 Elverum",43816,2022-05-31,El + Bensin,329990,Suzuki S-Cross,Suzuki SX4 S-Cross 1.4 Hybrid Turbo 4x4/Safetech/48V/ACC/360/CarPlay/Navi,https://www.finn.no/car/used/ad.html?finnkode=344134316,2022
"Amsrudvegen 5, 2827 Hunndalen",83000,2014-11-28,Bensin,179000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.6 120hk Exclusive/4x4/Manuell/Hengerfeste+++,https://www.finn.no/car/used/ad.html?finnkode=342876764,2014
"Bjugnveien 24, 7160 Bjugn",109000,2013-10-23,Bensin,179000,Suzuki S-Cross,Suzuki SX4 S-Cross 1.6 120 hk/AWD/Automat/Krok/R.kam/Navi,https://www.finn.no/car/used/ad.html?finnkode=343007440,2013
