area,distance,first_registration,fuel,price,search,title,url,year
"Strandgata 25, 4307 Sandnes",14000,2023-03-15,Elektrisitet,409000,Tesla Model 3,Tesla Model 3 SR+ RWD 2023 Hengerfeste Coating S&V Dekk,https://www.finn.no/car/used/ad.html?finnkode=344143036,2023


"Kappvegen 31, 2322 Ridabu",71226,2020-01-02,Elektrisitet,319900,Tesla Model 3,Tesla Model 3 Long Range|PREMIUM|AWD|Autopilot|Krok|Takstativ+++,https://www.finn.no/car/used/ad.html?finnkode=344148645,2020

1511 Moss,91500,2019-06-14,Elektrisitet,249305,Tesla Model 3,Tesla Model 3 Long Range AWD,https://www.finn.no/car/used/ad.html?finnkode=344153675,2019
"Tvetenveien 152, 0671 Oslo",49500,2022-08-31,Elektrisitet,399000,Tesla Model 3,Tesla Model 3 LR / AUTOPILOT / S+V / SPORTSFELGER / AWD / +++,https://www.finn.no/car/used/ad.html?finnkode=344146955,2022
6260 Skodje,50573,2019-09-11,Elektrisitet,327100,Tesla Model 3,Tesla Model 3 Long Range AWD| EAP | Garanti,https://www.finn.no/car/used/ad.html?finnkode=344157445,2019
1914 Ytre Enebakk,17800,2022-09-01,Elektrisitet,439929,Tesla Model 3,Tesla Model 3 Long Range AWD,https://www.finn.no/car/used/ad.html?finnkode=344161779,2022
6320 Isfjorden,120000,2019-12-09,Elektrisitet,304305,Tesla Model 3,Tesla Model 3 MODEL 3 158KW,https://www.finn.no/car/used/ad.html?finnkode=344033715,2020
"Strømsveien 181, 0664 Oslo",60070,2020-09-02,Elektrisitet,349000,Tesla Model 3,"Tesla Model 3 Long Range AWD Norsk bil,Varmep,Autopilot,Hengerfeste",https://www.finn.no/car/used/ad.html?finnkode=344177576,2020

8370 Leknes,57050,2020-03-06,Elektrisitet,349305,Tesla Model 3,"Tesla Model 3 Performance - Nylig EU OK, Garanti +++",https://www.finn.no/car/used/ad.html?finnkode=343751233,2020




5227 Nesttun,115000,2019-03-30,Elektrisitet,259305,Tesla Model 3,Tesla Model 3 MODEL 3 LONG RANGE,https://www.finn.no/car/used/ad.html?finnkode=337187061,2019


"Billingstadsletta 83, 1396 Billingstad",66000,2021-06-21,Elektrisitet,379900,Tesla Model 3,Tesla Model 3 AP/HIFI/VINTER/RATTVARME/S+V,https://www.finn.no/car/used/ad.html?finnkode=344097030,2021

"Fekjan 13, 1394 Nesbru",31000,2021-09-21,Elektrisitet,389000,Tesla Model 3,"Tesla Model 3 LR 4x4 , Norsk, Matrix, 1 eier, Sept 2021, Varme ratt",https://www.finn.no/car/used/ad.html?finnkode=344098806,2021


"Klokkergårdveien 4, 1711 Sarpsborg",51400,2019-09-25,Elektrisitet,289000,Tesla Model 3,Tesla Model 3 Base Performance AWD 489hk / Premium Lyd +++,https://www.finn.no/car/used/ad.html?finnkode=344115929,2019
"Vestgårdsveien 3, 1787 Halden",29000,2020-12-13,Elektrisitet,389000,Tesla Model 3,Tesla Model 3 Performance AWD,https://www.finn.no/car/used/ad.html?finnkode=344115385,2021
"Brobekkveien 47, 0598 Oslo",126000,2021-03-02,Elektrisitet,314129,Tesla Model 3,Tesla Model 3 Tesla Model 3 158KW,https://www.finn.no/car/used/ad.html?finnkode=344126117,2021

5302 Strusshamn,108000,2019-05-27,Elektrisitet,258500,Tesla Model 3,Tesla Model 3 AWD Long range,https://www.finn.no/car/used/ad.html?finnkode=343721415,2019



"Arvesetveien 2, 0668 Oslo",80000,2019-08-28,Elektrisitet,229305,Tesla Model 3,"Tesla Model 3 SR.Plus,Autopilot,Panorama,Skinn,En Eier,Outlet",https://www.finn.no/car/used/ad.html?finnkode=344125384,2019
"Dyrskuevegen 4, 2040 Kløfta",29200,2022-12-22,Elektrisitet,425000,Tesla Model 3,Tesla Model 3 Long Range AP/Varmepumpe/Rattvarme/Facelift/Ryzen,https://www.finn.no/car/used/ad.html?finnkode=344130251,2023
"Barliveien 21, 5142 Fyllingsdalen",75000,2019-12-20,Elektrisitet,279800,Tesla Model 3,"Tesla Model 3 Longe Range, AWD, H-feste Premium, Sport felg,",https://www.finn.no/car/used/ad.html?finnkode=344130839,2019

"Dyrskuevegen 4, 2040 Kløfta",49800,2021-06-18,Elektrisitet,299900,Tesla Model 3,Tesla Model 3 Standard range+ Autopilot/V.Pumpe/Rattvarme/S+V,https://www.finn.no/car/used/ad.html?finnkode=344128450,2021
"Dyrskuevegen 4, 2040 Kløfta",48700,2020-12-04,Elektrisitet,349900,Tesla Model 3,Tesla Model 3 Long Range/Autopilot/PremLyd/V.Pumpe/Hengerfeste,https://www.finn.no/car/used/ad.html?finnkode=344132835,2021
5172 Loddefjord,83000,2020-12-27,Elektrisitet,364305,Tesla Model 3,Tesla Model 3 MODEL 3 Performance 158KW,https://www.finn.no/car/used/ad.html?finnkode=344132693,2021
"Stabburveien 4, 1617 Fredrikstad",75000,2020-03-05,Elektrisitet,298000,Tesla Model 3,Tesla Model 3 SR+ AUTOPILOT - WLTP 409KM - NY I NORGE - TAR INNBYTTE!,https://www.finn.no/car/used/ad.html?finnkode=344135793,2020
"HARALDS VEI 17, 1470 Lørenskog",62000,2021-03-22,Elektrisitet,345000,Tesla Model 3,"Tesla Model 3 LONG RANGE AWD/ VARMEPUMPE /AP/ 18""+18""",https://www.finn.no/car/used/ad.html?finnkode=344140280,2021
"Sanddalsringen 3, 5225 Nesttun",10000,2022-12-14,Elektrisitet,449900,Tesla Model 3,"Tesla Model 3 AWD,LONG RANGE, SKINN,PANORAMA,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=344131558,2023
"Liamyrane 13, 5132 Nyborg",56870,2021-06-24,Elektrisitet,299900,Tesla Model 3,Tesla Model 3 Standard Range Plus Varmepumpe Autopilot,https://www.finn.no/car/used/ad.html?finnkode=344141859,2021



7021 Trondheim,114180,2019-06-21,Elektrisitet,279305,Tesla Model 3,"Tesla Model 3 Long Range AWD Chrome delet, hengerfeste",https://www.finn.no/car/used/ad.html?finnkode=343909982,2019
"Lilletuneveien 6 B, 1711 Sarpsborg",55000,2022-08-26,Elektrisitet,397000,Tesla Model 3,Tesla Model 3 LR - 4WD - 602 WLTP - HENGERFESTE - VARME I RATT+++,https://www.finn.no/car/used/ad.html?finnkode=343918496,2022
7298 Budalen,75000,2021-06-28,Elektrisitet,339129,Tesla Model 3,Tesla Model 3 MODEL 3 158KW,https://www.finn.no/car/used/ad.html?finnkode=343629786,2021
"Rudssletta 84, 1351 Rud",76800,2019-05-24,Elektrisitet,288503,Tesla Model 3,Tesla Model 3 Long Range | 4X4 | 1-Eier | FSD | Autopilot | Premium,https://www.finn.no/car/used/ad.html?finnkode=343933231,2019
"Lilletuneveien 6 B, 1711 Sarpsborg",73000,2019-10-17,Elektrisitet,278000,Tesla Model 3,Tesla Model 3 SR - Skinn - Hengerfeste - Autopilot - Tar innbytte,https://www.finn.no/car/used/ad.html?finnkode=343938184,2019
"Lilletuneveien 6 B, 1711 Sarpsborg",99000,2019-12-11,Elektrisitet,319000,Tesla Model 3,Tesla Model 3 Long Range - 4 WD - Autopilot - H. feste - Tar innbytte,https://www.finn.no/car/used/ad.html?finnkode=343939148,2020
1412 Sofiemyr,37900,2021-06-21,Elektrisitet,329990,Tesla Model 3,Tesla Model 3 SR+ Velholdt-Krok-Varmepumpe-Takstativ-Mørke ruter,https://www.finn.no/car/used/ad.html?finnkode=343911675,2021

"Lønningsflaten 21, 5258 Blomsterdalen",8600,2023-03-21,Elektrisitet,449000,Tesla Model 3,Tesla Model 3 Long Range Skinn Autopilot Premium interiør,https://www.finn.no/car/used/ad.html?finnkode=343966827,2023

"Vassbotnen 13, 4313 Sandnes",97000,2020-03-23,Elektrisitet,319000,Tesla Model 3,"Tesla Model 3 Performance AWD Autopilot 20"" sommer 20"" vinter",https://www.finn.no/car/used/ad.html?finnkode=343976932,2020
"Otterveien 2, 9305 Finnsnes",69425,2020-12-02,Elektrisitet,369900,Tesla Model 3,Tesla Model 3 LongRange|4WD|580km| Facelift|Autopilot,https://www.finn.no/car/used/ad.html?finnkode=343967755,2021



"Lilletuneveien 6 B, 1711 Sarpsborg",38000,2021-06-03,Elektrisitet,388000,Tesla Model 3,Tesla Model 3 LR - 4WD - Varme i ratt - Varmepumpe - Tar innbytte,https://www.finn.no/car/used/ad.html?finnkode=343982695,2021

"Solbergveien 207, 2020 Skedsmokorset",20000,2022-09-05,Elektrisitet,389129,Tesla Model 3,Tesla Model 3 Standard Range/Pano/FSD/AllBlack/Pr.pakke/1eier/SomNy++,https://www.finn.no/car/used/ad.html?finnkode=343988874,2022
"Økernveien 147, 0580 Oslo",50150,2021-12-09,Elektrisitet,364900,Tesla Model 3,Tesla Model 3 Long Range Awd 614km V.Pumpe | Autopilot | Premium,https://www.finn.no/car/used/ad.html?finnkode=343984571,2021
"Dyrskuevegen 4, 2040 Kløfta",68300,2019-03-04,Elektrisitet,289000,Tesla Model 3,Tesla Model 3 Long Range/FSD/Skinn/AWD/Utvidet garanti,https://www.finn.no/car/used/ad.html?finnkode=343989026,2019

"Bruksgata 19, 3300 Hokksund",50000,2021-09-27,Elektrisitet,375000,Tesla Model 3,Tesla Model 3 LR AWD 614KM WLTP+AUTOPILOT+KROK+VARMEPUMPE+2 SETT HJUL,https://www.finn.no/car/used/ad.html?finnkode=343842355,2021
"Myreneveien 25, 4842 Arendal",12000,2022-12-14,Elektrisitet,449900,Tesla Model 3,Tesla Model 3 Long Range AWD PANORAMA/EL.SETER/SKINN/EL.BAKLUKE/++,https://www.finn.no/car/used/ad.html?finnkode=344002729,2023
"Haralds VEI 17, 1470 Lørenskog",43500,2021-09-16,Elektrisitet,375000,Tesla Model 3,"Tesla Model 3 LONG RANGE AWD FACELIFT/VARMEPUMPE/VARMERATT/KROK/19""",https://www.finn.no/car/used/ad.html?finnkode=344005928,2021
"Hovebakken 9, 4306 Sandnes",77000,2019-06-27,Elektrisitet,299000,Tesla Model 3,"Tesla Model 3 LR 4X4 476 HK ,KROK,SKINN,PREMIUM SOUND,NAVI,KAMERA",https://www.finn.no/car/used/ad.html?finnkode=343831461,2019
"Sørlihagen 9, 4073 Randaberg",51500,2021-03-15,Elektrisitet,438129,Tesla Model 3,Tesla Model 3 Tesla Model 3 Performance FSD,https://www.finn.no/car/used/ad.html?finnkode=343831431,2021
,65500,2021-09-23,Elektrisitet,344990,Tesla Model 3,Tesla Model 3 Long Range 614km / V.Pumpe / Krok / P.Varm / R.Kam/ S+V,https://www.finn.no/car/used/ad.html?finnkode=343831913,2021
1365 Blommenholm,53626,2020-12-15,Elektrisitet,379305,Tesla Model 3,Tesla Model 3 Long Range AWD / Varmepumpe / Facelift / Aerofelger,https://www.finn.no/car/used/ad.html?finnkode=343825004,2021
,40200,2019-06-26,Elektrisitet,299000,Tesla Model 3,Tesla Model 3 LR AWD 580km / AP / Krok / Pano/ Premium/ Norsk/ Lav.km,https://www.finn.no/car/used/ad.html?finnkode=343833939,2019

"Sørenga 3, 7032 Trondheim",61900,2020-09-09,Elektrisitet,329900,Tesla Model 3,Tesla Model 3 LONG RANGE AWD PREMIUM*SKINN*KAMERA*HENGERFESTE*,https://www.finn.no/car/used/ad.html?finnkode=343836990,2020
"Bedriftsvegen 76, 3735 Skien",71500,2019-12-17,Elektrisitet,348900,Tesla Model 3,Tesla Model 3 AWD Performance Autopilot / Premium lyd / Navi,https://www.finn.no/car/used/ad.html?finnkode=343839144,2020
"Industritoppen 4, 4848 Arendal",58000,2020-12-28,Elektrisitet,359900,Tesla Model 3,Tesla Model 3 LONG RANGE AWD/1EIER/PANO/SKINN/AP/PREMIUM/KROK/S+V,https://www.finn.no/car/used/ad.html?finnkode=343839239,2021
