area,distance,first_registration,fuel,price,search,title,url,year
"Bedriftsveien 13, 6517 Kristiansund N",23669,2019-10-17,El + Bensin,279000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech",https://www.finn.no/car/used/ad.html?finnkode=343955792,2019
9610 Rypefjord,85300,2019-03-20,El + Bensin,242129,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid e-CVT Touring Sports Executive",https://www.finn.no/car/used/ad.html?finnkode=344031426,2019
"Hendenvegen 2, 6423 Molde",38000,2021-07-21,El + Bensin,274000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=343980719,2021
"Hendenvegen 2, 6423 Molde",24605,2020-10-08,El + Bensin,299000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid e-CVT Touring Sports Executive",https://www.finn.no/car/used/ad.html?finnkode=343985709,2020
"Hamarøyveien 5679, 8276 Ulvsvåg",61706,2020-02-18,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Executive",https://www.finn.no/car/used/ad.html?finnkode=344082282,2020
"Omvikdalsvegen 65, 5464 Dimmelsvik",11550,2020-09-16,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech",https://www.finn.no/car/used/ad.html?finnkode=343957791,2020
"Olav Ingstadsvei 7, 1351 Rud",13861,2022-01-26,El + Bensin,329000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport",https://www.finn.no/car/used/ad.html?finnkode=343969437,2022
"Industriv 39, 2212 Kongsvinger",82000,2020-11-02,El + Bensin,249000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active",https://www.finn.no/car/used/ad.html?finnkode=344096729,2020
"Myrdalsvegen 20, 5131 Nyborg",72800,2020-06-23,El + Bensin,249000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech KAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=344099351,2020
"Kobberbergsveien 6, 3615 Kongsberg",38612,2021-06-22,El + Bensin,259000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active KAMPANJE/NAVI/R.KAMERA",https://www.finn.no/car/used/ad.html?finnkode=344123976,2021
"Industriveien 1A, 1401 Ski",62903,2021-02-09,El + Bensin,275000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech -- HENGERFESTE --",https://www.finn.no/car/used/ad.html?finnkode=343188007,2021
"Leangen Alle 4, 7044 Trondheim",45000,2020-10-14,El + Bensin,259900,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Active Tech/ny service/",https://www.finn.no/car/used/ad.html?finnkode=344125731,2020
"Industriv 39, 2212 Kongsvinger",55213,2021-01-14,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech *KAMPANJE*",https://www.finn.no/car/used/ad.html?finnkode=343835166,2021
"Kjeller Vest 4, 2007 Kjeller",58091,2022-06-13,El + Bensin,318000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=343259519,2022
"Bjørnstjerne Bjørnsons gate 78, 3044 Drammen",98872,2021-10-21,El + Bensin,209900,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active ACC,Navi,R.kamera,DAB+",https://www.finn.no/car/used/ad.html?finnkode=343051504,2022
,39408,2021-08-26,El + Bensin,299000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech Bruktbilkampanje!",https://www.finn.no/car/used/ad.html?finnkode=343144272,2021
"Sam Eydes vei 5B, 1412 Sofiemyr",59000,2020-07-21,El + Bensin,237000,Toyota Corolla Touring Sports,Toyota Corolla 1.8 HYBRID 170HK TOURING SPORT ACTIVE TECH NORSK BIL,https://www.finn.no/car/used/ad.html?finnkode=343052313,2020
"Kjeller Vest 4, 2007 Kjeller",64254,2020-12-21,El + Bensin,259000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech",https://www.finn.no/car/used/ad.html?finnkode=343259884,2020
