area,distance,first_registration,fuel,price,search,title,url,year
"Enden 5, 3550 Gol",215000,2013-07-10,Diesel,159900,Toyota RAV4,"Toyota RAV4 2.2 150hk 4WD, Cruise, Kamera, Hengerfeste, Skiboks ++",https://www.finn.no/car/used/ad.html?finnkode=343934825,2013
8200 Fauske,220932,2006-06-13,Diesel,11845,Toyota RAV4,Toyota RAV4 2.0-116 D 4WD,https://www.finn.no/car/used/ad.html?finnkode=343220924,2002
7804 Namsos,41000,2021-05-04,El + Bensin,519900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active Tech,https://www.finn.no/car/used/ad.html?finnkode=343921987,2021
0970 Oslo,67600,2017-11-21,El + Bensin,279305,Toyota RAV4,Toyota RAV4 RAV4 2.5-155 4WD,https://www.finn.no/car/used/ad.html?finnkode=343924356,2017
3084 Holmestrand,185000,2014-06-03,Bensin,179147,Toyota RAV4,Toyota RAV4 RAV4 2.0-151 4WD,https://www.finn.no/car/used/ad.html?finnkode=321955500,2014
8618 Mo i Rana,159000,2015-02-10,Diesel,164205,Toyota RAV4,Toyota RAV4 RAV4 2.0-124 D,https://www.finn.no/car/used/ad.html?finnkode=343004553,2015
1253 Oslo,176500,2016-01-29,El + Bensin,210000,Toyota RAV4,Toyota RAV4 Hybrid AWD Active Style,https://www.finn.no/car/used/ad.html?finnkode=341809738,2016
"Slottsbrogt. 5, 3915 Porsgrunn",75102,2020-09-18,El + Bensin,479000,Toyota RAV4,Toyota RAV4 PHEV AWD-i Executive aut,https://www.finn.no/car/used/ad.html?finnkode=343924199,2020
"Disenstrandvegen 9, 2321 Hamar",77630,2020-09-07,El + Bensin,489800,Toyota RAV4,Toyota RAV4 PHEV AWD-i Executive aut Hengerfeste - LED - Adaptiv cr,https://www.finn.no/car/used/ad.html?finnkode=343848830,2020
"Disenstrandvegen 9, 2321 Hamar",30931,2022-07-29,El + Bensin,549900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active 75km el. rekkevidde - 306HK - LED,https://www.finn.no/car/used/ad.html?finnkode=343848152,2022
"Disenstrandvegen 9, 2321 Hamar",34718,2022-07-29,El + Bensin,548900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active 306HK - 75km el. rekkevidde,https://www.finn.no/car/used/ad.html?finnkode=343849151,2022
"64 Maggevarden, 5363 Ågotnes",65000,2022-05-16,El + Bensin,359129,Toyota RAV4,Toyota RAV4 HYBRID 2WD LIFE| DAB| R.KAMERA| NORSK| GARANTI++,https://www.finn.no/car/used/ad.html?finnkode=341368691,2022
"Disenstrandvegen 9, 2321 Hamar",40608,2022-04-27,El + Bensin,468900,Toyota RAV4,Toyota RAV4 Hybrid AWD-i Active LED - Nøkkelfri - Adaptiv cruise,https://www.finn.no/car/used/ad.html?finnkode=343849174,2022
"Disenstrandvegen 9, 2321 Hamar",44321,2021-02-05,El + Bensin,528900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Executive Krok - LED - Skinn - Adapt.cruise,https://www.finn.no/car/used/ad.html?finnkode=343849416,2021
"Industriv 39, 2212 Kongsvinger",44647,2021-02-23,El + Bensin,499000,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active Tech,https://www.finn.no/car/used/ad.html?finnkode=343851865,2021
"Johan Gundersensvei 2, 1711 Sarpsborg",151800,2016-05-03,El + Bensin,229000,Toyota RAV4,Toyota RAV4 aut Active S | Kamera | Krok,https://www.finn.no/car/used/ad.html?finnkode=343854953,2016
"Disenstrandvegen 9, 2321 Hamar",61841,2021-03-24,El + Bensin,507900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Executive LED - Nøkkelfri - Adaptiv cruise,https://www.finn.no/car/used/ad.html?finnkode=343841852,2021
,45858,2021-05-25,El + Bensin,509000,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active Tech,https://www.finn.no/car/used/ad.html?finnkode=343842643,2021
"Leangen Alle 4, 7044 Trondheim",44600,2021-05-12,El + Bensin,499900,Toyota RAV4,Toyota RAV4 Active Tech/ladbar hybrid/75km WLTP/krok/,https://www.finn.no/car/used/ad.html?finnkode=343843948,2021
"Travveien 7, 3170 Sem",51000,2021-12-29,El + Bensin,469000,Toyota RAV4,Toyota RAV4 Hybrid Active,https://www.finn.no/car/used/ad.html?finnkode=343844010,2021
"Disenstrandvegen 9, 2321 Hamar",52049,2021-02-18,El + Bensin,519900,Toyota RAV4,Toyota RAV4 PHEV AWD-i Active 75km el. rekkevidde - 306HK - LED,https://www.finn.no/car/used/ad.html?finnkode=343862242,2021
"Leangen Alle 4, 7044 Trondheim",24500,2023-04-11,El + Bensin,629900,Toyota RAV4,Toyota RAV4 Active Tech/ladbar hybrid/75km WLTP/krok/,https://www.finn.no/car/used/ad.html?finnkode=343845302,2023
"Slottsbrogt. 5, 3915 Porsgrunn",24269,2019-03-27,El + Bensin,349000,Toyota RAV4,"Toyota RAV4 2,5 Hybrid Aut. Style",https://www.finn.no/car/used/ad.html?finnkode=343862570,2019
"Travveien 7, 3170 Sem",50000,2021-12-29,El + Bensin,469000,Toyota RAV4,Toyota RAV4 PHEV Active AWD-i,https://www.finn.no/car/used/ad.html?finnkode=343868535,2021
