area,distance,first_registration,fuel,price,search,title,url,year



"Kokstadveien 29, 5257 Kokstad",15000,2023-05-04,Elektrisitet,459900,Volkswagen ID.4,"Volkswagen ID.4 Pro 77kWh 204hk Matrix,Krok,El.seter,Keyless,ACC,20""",https://www.finn.no/car/used/ad.html?finnkode=344265267,2023
2315 Hamar,71000,2021-04-08,Elektrisitet,339898,Volkswagen ID.4,Volkswagen ID.4 PRO PERFORMANCE,https://www.finn.no/car/used/ad.html?finnkode=281950247,2021

"Nils Hansens vei 4B, 0667 Oslo",25700,2023-02-09,Elektrisitet,429900,Volkswagen ID.4,Volkswagen ID.4 pro limited  77kwh 174hk Style/Keyless/kamera/Krok +++,https://www.finn.no/car/used/ad.html?finnkode=344271324,2023
"Bruhaugvegen 1, 2827 Hunndalen",103900,2018-01-08,Diesel,307900,Volkswagen ID.4,"Volkswagen T-Roc 2,0 TDI 150hk Sport 4M aut Navi App-Con Acc Ny Eu++",https://www.finn.no/car/used/ad.html?finnkode=344272519,2018



"Elgvegen 2, 2340 Løten",23428,2022-05-30,Elektrisitet,389000,Volkswagen ID.4,Volkswagen ID.4 Pro 77kWh 204hk INNBYTTEKAMPANJE,https://www.finn.no/car/used/ad.html?finnkode=344338856,2022
"KOKSTADVEGEN 15, 5257 Kokstad",19700,2022-06-14,Elektrisitet,449900,Volkswagen ID.4,Volkswagen ID.4 GTX /Matrix/Krok/HUD/R.kam/ACC/21''+20''/Norsk,https://www.finn.no/car/used/ad.html?finnkode=340426863,2022
"Fjordgata 50, 6005 Ålesund",143881,2021-12-21,Elektrisitet,349998,Volkswagen ID.4,Volkswagen ID.4 GTX 77kWh 299hk,https://www.finn.no/car/used/ad.html?finnkode=344381794,2022
"Fabrikkveien 2, 4033 Stavanger",21000,2022-04-21,Elektrisitet,389000,Volkswagen ID.4,Volkswagen ID.4 PRO 150 KW* Hengerfeste * Delskinn * 1Eiers * Lav Km,https://www.finn.no/car/used/ad.html?finnkode=344387963,2022


,19000,2022-11-04,Elektrisitet,409900,Volkswagen ID.4,Volkswagen ID.4 77kwh / Norsk / Krok / Serviceavtale / Matrix / V.pumpe,https://www.finn.no/car/used/ad.html?finnkode=344136740,2023
7804 Namsos,55000,2021-05-25,Elektrisitet,342129,Volkswagen ID.4,Volkswagen ID.4 77kwh 204HK Pro Performance Id.4 1st 495km WLTP,https://www.finn.no/car/used/ad.html?finnkode=337344076,2021



"E. K. Andersons vei 3, 9912 Hesseng",31664,2022-10-06,Elektrisitet,499000,Volkswagen ID.4,Volkswagen ID.4 GTX 77kWh 299hk 4MOTION,https://www.finn.no/car/used/ad.html?finnkode=344147563,2022
3128 Nøtterøy,51460,2021-10-28,Elektrisitet,346305,Volkswagen ID.4,Volkswagen ID.4 77kWH 204hk 1st,https://www.finn.no/car/used/ad.html?finnkode=344162377,2021

"Billingstadsletta 14-18, 1396 Billingstad",10485,2021-05-18,Elektrisitet,419750,Volkswagen ID.4,"Volkswagen ID.4 1st Max Matrix-Pano-21""-DCC-Head Up-360-Hengerfeste",https://www.finn.no/car/used/ad.html?finnkode=344163929,2021
