area,distance,first_registration,fuel,price,search,title,url,year
,8057,2022-06-10,Elektrisitet,529900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium SJEKK VANVITTIG KAMPANJE!,https://www.finn.no/car/used/ad.html?finnkode=343424916,2022
2334 Romedal,81000,2020-02-20,Elektrisitet,199868,Hyundai Ioniq,Hyundai IONIQ IONIQ ELECTRIC 100KW,https://www.finn.no/car/used/ad.html?finnkode=330998674,2020
4628 Kristiansand S,71000,2016-11-11,Elektrisitet,149000,Hyundai Ioniq,Hyundai IONIQ TOPPMODELL|SKINN|TAKLUKE|LAV KM|GARANTI,https://www.finn.no/car/used/ad.html?finnkode=337398573,2017
"Depotgata 12, 2000 Lillestrøm",13239,2021-02-05,Elektrisitet,284900,Hyundai Ioniq,Hyundai IONIQ Premium NORSK! TOPPMODELL! 311 KM REKKEVIDDE!,https://www.finn.no/car/used/ad.html?finnkode=343863378,2021
"Skotselvveien 2, 3302 Hokksund",20515,2020-01-27,El + Bensin,259000,Hyundai Ioniq,Hyundai IONIQ Phev 1 Eier/Premium/Skinn/ACC/Ratt.Varme/Ny EU,https://www.finn.no/car/used/ad.html?finnkode=343867809,2020
"Dynamitveien 10, 1400 Ski",10000,2023-04-28,Elektrisitet,559000,Hyundai Ioniq,Hyundai Ioniq 5 LR AWD Premium Vision Roof / H.feste / LED-bar / Norsk,https://www.finn.no/car/used/ad.html?finnkode=343862457,2023
"Hadelandsveien 1, 2816 Gjøvik",11900,2022-05-06,Elektrisitet,288900,Hyundai Ioniq,"Hyundai IONIQ Led,Cruise,Bluelink++",https://www.finn.no/car/used/ad.html?finnkode=343850321,2022
"Ranheimsveien 1, 7027 Trondheim",50195,2019-10-29,Elektrisitet,168800,Hyundai Ioniq,Hyundai IONIQ Teknikk |Promise|280km|Norsk|1 eier,https://www.finn.no/car/used/ad.html?finnkode=343853823,2019
"Industrigaten 24, 5537 Haugesund",37800,2018-12-17,Elektrisitet,168900,Hyundai Ioniq,Hyundai IONIQ Teknikk Skinn/Navi/DAB+,https://www.finn.no/car/used/ad.html?finnkode=343871422,2017
"Haugenveien 3, 1423 Ski",13869,2022-08-17,Elektrisitet,449900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium NY PRIS-TOPPUTSTYRT-SKINN,https://www.finn.no/car/used/ad.html?finnkode=343881336,2022
"Haugenveien 3, 1423 Ski",20609,2021-05-19,Elektrisitet,449900,Hyundai Ioniq,Hyundai Ioniq 5 LR AWD Premium TOPP UTSTYRT-SOLCELLETAK-GOD PLASS!!,https://www.finn.no/car/used/ad.html?finnkode=343881605,2022
"Haugenveien 3, 1423 Ski",50,2022-09-27,Elektrisitet,469900,Hyundai Ioniq,Hyundai Ioniq 5 LR AWD Premium TOPPUTSTYRT-SKINN - SATT NED 10.000!!,https://www.finn.no/car/used/ad.html?finnkode=343881501,2022
"Rudssletta 24, 1351 Rud",10,2023-11-30,Elektrisitet,378900,Hyundai Ioniq,Hyundai Kona Premium LR NORSK/UBRUKT/INKLUDERT HJEMMELADER+MONTERING,https://www.finn.no/car/used/ad.html?finnkode=343882383,2023
"Vestre Linnesvei 7, 3414 Lierstranda",13944,2022-08-17,Elektrisitet,469900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium LYNLADING/V2L/BOSE/360 KAMERA,https://www.finn.no/car/used/ad.html?finnkode=343881076,2022
"Rudssletta 24, 1351 Rud",19745,2021-05-15,Elektrisitet,299900,Hyundai Ioniq,Hyundai Kona Trend LR MEGA REKKEVIDDE! VARMEPUMPE! HURIGLADER!,https://www.finn.no/car/used/ad.html?finnkode=343882850,2021
2020 Skedsmokorset,55058,2019-02-12,Elektrisitet,157147,Hyundai Ioniq,Hyundai IONIQ IONIQ ELECTRIC 88KW,https://www.finn.no/car/used/ad.html?finnkode=333219382,2018
"Osloveien 4, 3511 Hønefoss",60766,2019-12-19,Elektrisitet,209000,Hyundai Ioniq,Hyundai IONIQ Premium,https://www.finn.no/car/used/ad.html?finnkode=343725958,2020
"Storebotn 3, 5309 Kleppestø",26000,2021-06-03,Elektrisitet,345000,Hyundai Ioniq,Hyundai Ioniq 5 58KW KROK EL LUKE KEYLESS ACC NAVI KAMERA LED S+V HJUL,https://www.finn.no/car/used/ad.html?finnkode=343734392,2022
"Storebotn 3, 5309 Kleppestø",46500,2021-07-18,Elektrisitet,439900,Hyundai Ioniq,Hyundai Ioniq 5 P45 AWD BOSE SOLAR 360KAMERA HEAD UP KROK KEYLESS NORSK,https://www.finn.no/car/used/ad.html?finnkode=343736328,2022
"Storebotn 3, 5309 Kleppestø",9500,2022-03-21,Elektrisitet,399900,Hyundai Ioniq,Hyundai Ioniq 5 PREMIUM RWD HUD 360KAMERA PANORAMA ACC BOSE SKINN,https://www.finn.no/car/used/ad.html?finnkode=343736587,2022
"Salg/Torolf Storsveens veg 12, 2406 Elverum",74000,2018-04-30,El + Bensin,185000,Hyundai Ioniq,Hyundai IONIQ Teknikk,https://www.finn.no/car/used/ad.html?finnkode=343737561,2018
"Haraldrudveien 9, 0581 Oslo",12854,2021-06-30,Elektrisitet,469900,Hyundai Ioniq,Hyundai Ioniq 5 LR AWD Project 45 TOPPMODELL - SOLCELLETAK - 460KM,https://www.finn.no/car/used/ad.html?finnkode=343747734,2022
"Haraldrudveien 9, 0581 Oslo",10151,2022-08-24,Elektrisitet,479900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium VI TAR INNBYTTE! - MASSE UTSTYR,https://www.finn.no/car/used/ad.html?finnkode=343747888,2022
