area,distance,first_registration,fuel,price,search,title,url,year
"Sanddalsringen 3, 5225 Nesttun",39000,2021-08-17,Elektrisitet,319900,kia e-niro,"Kia E-Niro 64KW,NAVI,UVO,DELSKINN,3-FAS,V-PUMP,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341286509,2021
"Sanddalsringen 3, 5225 Nesttun",12000,2021-10-27,Elektrisitet,329900,kia e-niro,"Kia Niro 64KW,NAVI,UVO,V-PUMPE,JBL,VINTERHJUL,KUN KJØRT 12.000KM",https://www.finn.no/car/used/ad.html?finnkode=341283012,2021
"Sanddalsringen 3, 5225 Nesttun",42000,2020-12-10,Elektrisitet,309900,kia e-niro,"Kia E-Niro 64KW,NAVI,UVO,DELSKINN,3-FAS,V-PUMPE,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341264361,2021
"Sanddalsringen 3, 5225 Nesttun",3000,2022-08-23,Elektrisitet,379900,kia e-niro,"Kia Niro V-PUMPE,EL-SETE,SKINN,UNDERSPRØYTET,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341388150,2023
"Sanddalsringen 3, 5225 Nesttun",10,2022-08-08,Elektrisitet,379900,kia e-niro,"Kia Niro EV,V-PUMPE,EL-SETE,SKINN,LADEPLATE TLF,UNDERSPRØYTET++",https://www.finn.no/car/used/ad.html?finnkode=341388228,2023
"Sanddalsringen 3, 5225 Nesttun",10,2022-08-08,Elektrisitet,389900,kia e-niro,"Kia E-Niro EL-SETE,V-PUMP,2xLED,MØRKE RUTER,LADEPLATE MOBIL,TECTYL",https://www.finn.no/car/used/ad.html?finnkode=341388258,2023
"Storebotn 3, 5309 Kleppestø",15000,2022-09-22,Elektrisitet,369900,kia e-niro,Kia Niro 64KW VISION NAVI LED EKSTRALYS KAMERA KEYLESS S+V V2L,https://www.finn.no/car/used/ad.html?finnkode=341089877,2023
"Storebotn 3, 5309 Kleppestø",28000,2021-06-04,Elektrisitet,329900,kia e-niro,Kia Niro EXCLUSIVE 64KW WLTP 454KM 3FASE UVO KAMERA SKINN ACC,https://www.finn.no/car/used/ad.html?finnkode=341090872,2021
6800 Førde,150204,2020-11-06,Elektrisitet,244305,kia e-niro,Kia E-Niro 150kw,https://www.finn.no/car/used/ad.html?finnkode=341179098,2020
"Sanddalsringen 3, 5225 Nesttun",50000,2020-12-29,Elektrisitet,319900,kia e-niro,"Kia E-Niro EXCLUSIVE,SKINN,SOLTAK,JBL,VINTERHJUL,7ÅR GARANTI",https://www.finn.no/car/used/ad.html?finnkode=341145902,2021
